Feature
NAB2
FASLG
PLEK2
IL1B
SPARC
CASP1
GADD45A
CASP3
CDKN2D
SCN3A
PTEN
IL7R
CDC25A
BPGM
IL10
ADAM17
S100A4
PLA2G7
XK
ST14
TNF
ITGAL
CDKN1A
NRAS
IL23A
CXCL10
IL2RA
HMGB1
PTPRK
IL5
CD86
PBX1
NME4
MAPK14
DENND2D
PTGS2
PLXDC2
MYC
CDH1
FAM210B
CTLA4
CCR9
PLAUR
IFNG
TP53
CD40
S100A6
GLRX5
HSPA1A
UBE2C
